        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
          90        0.192        1.908       -0.026  -0.02010487   0.01590945   0.01724186
          91        0.192        2.012       -0.026  -0.01996533   0.01268514   0.01732090
          92        0.192        2.116       -0.026  -0.01935290   0.00955681   0.01739616
          93        0.192        2.220       -0.026  -0.01830879   0.00650830   0.01746125
          94        0.192        2.324       -0.026  -0.01690396   0.00353597   0.01750589
          95        0.192        2.428       -0.026  -0.01522563   0.00063852   0.01752624
          96        0.192        2.532       -0.026  -0.01337439  -0.00216404   0.01751778
          97        0.192        2.636       -0.026  -0.01144362  -0.00484238   0.01748174
          98        0.192        2.740       -0.026  -0.00952609  -0.00736012   0.01742076
          99        0.192        2.844       -0.026  -0.00769813  -0.00967590   0.01734259
         100        0.192        2.948       -0.026  -0.00603099  -0.01173870   0.01725799
         101        0.192        3.052       -0.026  -0.00457640  -0.01350267   0.01718195
         102        0.192        3.156       -0.026  -0.00337772  -0.01492201   0.01712884
         103        0.192        3.260       -0.026  -0.00245942  -0.01596287   0.01711403
         104        0.192        3.364       -0.026  -0.00183891  -0.01659958   0.01714740
         105        0.192        3.468       -0.026  -0.00171150  -0.01630190   0.01722763
         106        0.296       -0.068       -0.026   0.00833875   0.06854234   0.01813079
         107        0.296        0.036       -0.026   0.00829420   0.06841300   0.01807190
         108        0.296        0.140       -0.026   0.00778185   0.06756687   0.01800384
         109        0.296        0.244       -0.026   0.00699832   0.06633990   0.01794384
         110        0.296        0.348       -0.026   0.00595285   0.06473530   0.01788714
         111        0.296        0.452       -0.026   0.00465051   0.06276984   0.01783240
         112        0.296        0.556       -0.026   0.00310349   0.06045834   0.01777807
         113        0.296        0.660       -0.026   0.00132398   0.05782244   0.01772308
         114        0.296        0.764       -0.026  -0.00066855   0.05488823   0.01766641
         115        0.296        0.868       -0.026  -0.00284708   0.05169117   0.01760961
         116        0.296        0.972       -0.026  -0.00517655   0.04826869   0.01755051
         117        0.296        1.076       -0.026  -0.00760705   0.04467173   0.01749441
         118        0.296        1.180       -0.026  -0.01007833   0.04095404   0.01744323
         119        0.296        1.284       -0.026  -0.01252220   0.03717302   0.01740434
         120        0.296        1.388       -0.026  -0.01485385   0.03338539   0.01738014
         121        0.296        1.492       -0.026  -0.01698577   0.02964494   0.01737599
         122        0.296        1.596       -0.026  -0.01882614   0.02599444   0.01739237
