        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1       -0.016       -0.068       -0.026   0.05919081   0.05048394   0.01567728
           2       -0.016        0.036       -0.026   0.05924834   0.04977816   0.01566786
           3       -0.016        0.140       -0.026   0.05985198   0.04890144   0.01585671
           4       -0.016        0.244       -0.026   0.06094839   0.04759177   0.01624467
           5       -0.016        0.348       -0.026   0.06251796   0.04587384   0.01681982
           6       -0.016        0.452       -0.026   0.06453628   0.04375147   0.01757473
           7       -0.016        0.556       -0.026   0.06696914   0.04122687   0.01849829
           8       -0.016        0.660       -0.026   0.06979873   0.03831252   0.01959326
           9       -0.016        0.764       -0.026   0.07299113   0.03501890   0.02084302
          10       -0.016        0.868       -0.026   0.07652498   0.03135241   0.02224366
          11       -0.016        0.972       -0.026   0.08035711   0.02731177   0.02377772
          12       -0.016        1.076       -0.026   0.08443702   0.02288786   0.02543543
          13       -0.016        1.180       -0.026   0.08871406   0.01806420   0.02719349
          14       -0.016        1.284       -0.026   0.09311664   0.01279435   0.02902191
          15       -0.016        1.388       -0.026   0.09758011   0.00704371   0.03089441
          16       -0.016        1.492       -0.026   0.10202108   0.00077007   0.03277485
          17       -0.016        1.596       -0.026   0.10635217  -0.00606690   0.03462117
          18       -0.016        1.700       -0.026   0.11048310  -0.01348796   0.03639310
          19       -0.016        1.804       -0.026   0.11432608  -0.02150131   0.03803923
          20       -0.016        1.908       -0.026   0.11778781  -0.03006919   0.03951549
          21       -0.016        2.012       -0.026   0.12078936  -0.03911957   0.04077984
          22       -0.016        2.116       -0.026   0.12326724  -0.04853882   0.04180797
          23       -0.016        2.220       -0.026   0.12520176  -0.05817450   0.04258327
          24       -0.016        2.324       -0.026   0.12659668  -0.06786417   0.04310572
          25       -0.016        2.428       -0.026   0.12749660  -0.07740297   0.04338626
          26       -0.016        2.532       -0.026   0.12795581  -0.08658954   0.04345000
          27       -0.016        2.636       -0.026   0.12805609  -0.09524168   0.04333524
          28       -0.016        2.740       -0.026   0.12787891  -0.10320098   0.04308697
          29       -0.016        2.844       -0.026   0.12753160  -0.11034776   0.04276160
          30       -0.016        2.948       -0.026   0.12711513  -0.11658653   0.04240818
